Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora /Za≥oøyciela;Nazwa Organizatora I/Za≥oøyciela;Nazwa Organizatora II/Za≥oøyciela;Nazwa Organizatora III/Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw                                   (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum
502;Muzeum Techniki Rzemios≥a ålusarstwo ñ Kowalstwo w†organizacji ;44-153;Soúnicowice;Soúnicowice;gliwicki;åL•SKIE;ul.;Raciborska;47;;;;;;;;Andrzej åledziÒski ;;;;;Utworzone przez osoby fizyczne
503;Muzeum Techniki Militarnej i Uøytkowej w Bytomiu (w organizacji);41-902;Bytom;Bytom;m. Bytom;åL•SKIE;ul.;Katowicka;54;;;;;;;;Roman Ploch;;;;;Utworzone przez osoby fizyczne
504;Muzeum Techniki Militarnej i†Uøytkowej  w Zabrzu (w†organizacji);41-800;Zabrze;Zabrze;m. Zabrze;åL•SKIE;ul.;Botaniczna;6;;;;;;;;Rafa≥ Siech;;;;;Utworzone przez osoby fizyczne
505;Muzeum Techniki Motoryzacyjnej ;62-100;Wπgrowiec;Wπgrowiec;wπgrowiecki;WIELKOPOLSKIE;;£aziska;10b;;;;;;;;Aleksander B≥aszkowski ;;;;;Utworzone przez osoby fizyczne
506;Muzeum Techniki Uzbrojenia w Bydgoszczy  (w organizacji);85-011;Bydgoszcz;Bydgoszcz;m. Bydgoszcz;KUJAWSKO-POMORSKIE;ul.;åniadeckich;32;;;;;;;;W≥odzimierz Rapkiewicz;;;;;Utworzone przez osoby fizyczne
507;Muzeum Techniki Uzbrojenia w Kamiennej GÛrze (w†organizacji);58-400;Kamienna GÛra;Kamienna GÛra;kamiennogÛrski;DOLNOåL•SKIE;ul.;Lubawska;1a;;;;;;;;Maciej Wyszkowski ;;;;;Utworzone przez osoby fizyczne
508;"Muzeum Techniki Wojskowej ,,ARMA"" w Warszawie";02-871;Warszawa;Warszawa (UrsynÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Karczunkowska;26;;;;;;;;Jaros≥aw Jakubowski; Patrycja Grπdziel - Jakubowska ;;;;Utworzone przez osoby fizyczne
509;Muzeum Techniki Wojskowej i Motoryzacji w GÛralach w organizacji ;87-330;GÛrale;Jab≥onowo Pomorskie ;brodnicki ;KUJAWSKO-POMORSKIE;;;110;;;;;;;;Dorian Koprowski ;;;;;Utworzone przez osoby fizyczne 
510;Muzeum Techniki Wojskowej i Obrony Przeciwlotniczej w Busku - Zdroju  (w organizacji);28-100;Busko-ZdrÛj;Busko-ZdrÛj;buski;åWI TOKRZYSKIE;ul.;Øeromskiego;24;;;;;;;;Zbigniew Wach;;;;;Utworzone przez osoby fizyczne
511;Muzeum Techniki Wojskowej i Uøytkowej ;95-030;RzgÛw;RzgÛw;≥Ûdzki wschodni;£”DZKIE;ul.;Polna;3;;;;;;;;Kordian Skalski;;;;;Utworzone przez osoby fizyczne
512;Muzeum Techniki Wojskowej im. Bogdana Wojciecha Koz≥owskiego w Olsztynie ;11-041;Olsztyn;Olsztyn;m. Olsztyn;WARMI—SKO-MAZURSKIE;ul.;Wilimowo;10a;;;;;;;;Bogdan Wojciech Koz≥owski;;;;;Utworzone przez osoby fizyczne
513;Muzeum Techniki Wojskowej im. Jerzego Tadeusza Widuchowskiego w Zabrzu   (w organizacji);41-803;Zabrze;Zabrze;m. Zabrze;åL•SKIE;ul.;Wojciecha Kossaka;31a;2;;;;;;;Wac≥aw Widuchowski;;;;;Utworzone przez osoby fizyczne
514;Muzeum Techniki Wojskowej w Feliksowie (w organizacji) ;05-083;ZaborÛw;ZaborÛw;warszawski zachodni;MAZOWIECKIE;ul.;åwierkowa;5;;;;;;;;Jacek Roszkowski ;;;;;Utworzone przez osoby fizyczne
515;Muzeum Techniki Wojskowej w Jaworznie (w organizacji);43-602;Jaworzno;Jaworzno;m. Jaworzno;åL•SKIE;ul.;Zarzeczna;2;;;;;;;;Marian Lewek ;;;;;Utworzone przez osoby fizyczne
516;Muzeum Techniki Wojskowej w K≥odawie (w organizacji);62-650;K≥odawa;K≥odawa;kolski;WIELKOPOLSKIE;ul.;Cegielniana;26;;;;;;;;Pawe≥ Bart≥omiejczak;;;;;Utworzone przez osoby fizyczne
517;Muzeum Tradycji Ruchu Narodowego w Jelczu - Laskowicach (w organizacji);55-220;Jelcz - Laskowice;Jelcz- Laskowice;o≥awski ;DOLNOåL•SKIE;ul. ;Hirszfelda;70;1;;;;;;;Mateusz Kotas;;;;;Utworzone przez osoby fizyczne 
518;Muzeum Twierdza BTR ñ 40  we Wroc≥awiu;51-180;Wroc≥aw;Wroc≥aw (Wroc≥aw-Psie Pole);m. Wroc≥aw;DOLNOåL•SKIE;ul.;Kominiarska;32;;;;;;;;Wies≥aw Majewski ;;;;;Utworzone przez osoby fizyczne
519;Muzeum Uzbrojenia (w organizacji);05-220;Zielonka;Zielonka;wo≥omiÒski;MAZOWIECKIE;ul.;Sprinterska;5;;;;;;;;Wojciech Goryca;;;;;Utworzone przez osoby fizyczne
520;Muzeum Uzbrojenia i Wojskowoúci (w organizacji);05-077;Warszawa -  Weso≥a;Warszawa (Weso≥a);m. st. Warszawa;MAZOWIECKIE;ul.;Jana Paw≥a II;46;;;;;;;;JÍdrzej Kozak ;;;;;Utworzone przez osoby fizyczne
521;Muzeum Uzbrojenia Øo≥nierza Wojska Polskiego 1914-1945 (w organizacji);01-518;Warszawa;Warszawa (Øoliborz);m. st. Warszawa;MAZOWIECKIE;ul.;JÛzefa Zajπczka;1-;5 m. 17;;;;;;;Jacek Mazuro;;;;;Utworzone przez osoby fizyczne
522;Muzeum Volkswagena;83-330;Øukowo, PÍpowo gm. Øukowo;Øukowo;kartuski;POMORSKIE;ul.;Armii Krajowej;50;;;;;;;;Ewa Suchecka ;;;;;Utworzone przez osoby fizyczne
523;"Muzeum VOLVO i innych Automobili w Poznaniu ,,Volvostrada"" (w organizacji) ";60-012;PoznaÒ;PoznaÒ ;poznaÒski;WIELKOPOLSKIE;ul. ;Ustronna ;13b;;;;;;;;Dariusz Weso≥owski ;Miros≥aw Walczak ;;;;Utworzone przez osoby fizyczne
524;Muzeum w Ponurzycy (w organizacji);05-430;CelestynÛw;CelestynÛw;otwocki;MAZOWIECKIE;;Ponurzyca;60;;;;;;;;Rados≥aw Szymczak;;;;;Utworzone przez osoby fizyczne
525;Muzeum Willa LodusieÒka w Warszawie ;04-824;Warszawa;Warszawa (Wawer);m. st. Warszawa;MAZOWIECKIE;ul.;Herbaciana;6;;;;;;;;Marek Salamonowicz;;;;;Utworzone przez osoby fizyczne
526;Muzeum Wojen i Øycia (w organizacji);68-200;Øary;Nowe Czaple;øarski;LUBUSKIE;Plac ;Przyjaüni;14;2;;;;;;;Franciszek £uckiewicz;Tomasz £uckiewicz;Krzysztof Jersak;;;Utworzone przez osoby fizyczne 
527;Muzeum Wojny i Pokoju (w organizacji);05-071;SulejÛwek;SulejÛwek (Mi≥osna);miÒski;MAZOWIECKIE;ul.;Grzybowa;3;;;;;;;;Robert Wyrostkiewicz;;;;;Utworzone przez osoby fizyczne
528;Muzeum Wojny Obronnej Rybnikí39  (w organizacji);44-251;Rybnik;Rybnik;m. Rybnik;åL•SKIE;ul.;Rycerska;16a;;;;;;;;Marcin Ruú;;;;;Utworzone przez osoby fizyczne
529;Muzeum Wojskowe i Regionalne w Klenicy (w organizacji);66-133;Klenica;Kliniczki;zielonogÛrski;LUBUSKIE;ul.;Boles≥awa Chrobrego;14;;;;;;;;Tomasz £ysiak;;;;;Utworzone przez osoby fizyczne
530;Muzeum Wojskowo- Cywilne w £osicach ;08-200;£osice;£osice;≥osicki;MAZOWIECKIE;ul.;Narutowicza;53;11;;;;;;;Mateusz CeliÒski ;;;;;Utworzone przez osoby fizyczne
531;Muzeum Wojskowoúci i Uzbrojenia (w organizacji);02-972;Warszawa;Warszawa (WilanÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Hlonda;2c;127;;;;;;;Micha≥ Kuczmierowski;;;;;Utworzone przez osoby fizyczne
532;Muzeum Wojskowoúci w åwierklaÒcu (w organizacji);42-622;åwierklaniec;Nak≥o;tarnogÛrski;åL•SKIE;ul.;TarnogÛrska;75;;;;;;;;Antoni Øurek;;;;;Utworzone przez osoby fizyczne
533;Muzeum Wolnego Czasu (w organizacji);82-120;Krynica Morska;Krynica Morska;nowodworski;POMORSKIE;ul.;Teleexpresu;3c;;;;;;;;Filip GawliÒski ;;;;;Utworzone przez osoby fizyczne
534;Muzeum Wsi Sudeckiej i Techniki Militarnej;58-340;£omnica;G≥uszyca;wa≥brzyski;DOLNOåL•SKIE;ul.;Sudecka;dz. nr 104;;;;;;;;Jerzy Rudnicki;;;;;Utworzone przez osoby fizyczne
535;Muzeum Wsi w Maruszowie (w†organizacji);27-630;Zawichost;Zawichost;sandomierski;åWI TOKRZYSKIE;;MaruszÛw;16;;;;;;;;Edward Ziarko;;;;;Utworzone przez osoby fizyczne
536;Muzeum WspÛ≥czesnej Broni Palnej w Jeøowie Sudeckim (w†organizacji);58-521;JeøÛw Sudecki;JeøÛw Sudecki;jeleniogÛrski;DOLNOåL•SKIE;ul.;Zachodnia;2;;;;;;;;Wojciech Aleksiewicz;;;;;Utworzone przez osoby fizyczne
537;Muzeum Zabawek w Kudowie Zdroju   (w organizacji);57-350;Kudowa ZdrÛj;Kudowa-ZdrÛj;k≥odzki;DOLNOåL•SKIE;ul.;Zdrojowa;34;4;;;;;;;Maria OzieraÒska;;;;;Utworzone przez osoby fizyczne
538;Muzeum ZabytkÛw Techniki Wojskowej w Warszawie;30-107;Warszawa;KrakÛw (KrakÛw-Krowodrza);m. KrakÛw;MA£OPOLSKIE;ul.;Ciechanowska;3;;;;;;;;Maciej KÍszycki; Stanis≥aw KÍszycki;;;;Utworzone przez osoby fizyczne
539;Muzeum Zamkowe Kamieniec;38-420;Korczyna;Korczyna;kroúnieÒski;PODKARPACKIE;ul.;Podzamcze;b;n;;;;;;;Andrzej Ko≥der ;;;;;Utworzone przez osoby fizyczne
540;Muzeum Zamkowe w Grodücu;43- 386;åwiÍtoszÛwka Grodziec;Jasienica;bielski;åL•SKIE;ul.;Dworska;1;;;;;;;;Micha≥ Boøek ;;;;;Utworzone przez osoby fizyczne
541;Muzeum ,,Ziemi Kaszubskiej i SprzÍtÛw Militarnychî (w†organizacji);83-311;GorÍczyno gm. Samonino;Brodnica Dolna (SarnÛwko);kartuski;POMORSKIE;ul.;KasztelaÒska;26e;;;;;;;;S≥awomir KamiÒski ;;;;;Utworzone przez osoby fizyczne
542;Muzeum Ziemi Makowskiej i Garnizonu RÛøan;06-230;RÛøan;RÛøan;makowski;MAZOWIECKIE;ul.;Szkolna;2;;;;;;;;Wies≥aw £askarzewski;;;;;Utworzone przez osoby fizyczne
543;Muzeum Ziemi Przemkowskiej (w organizacji);59-170;PrzemkÛw;PrzemkÛw;polkowicki ;DOLNOåL•SKIE;ul. ;Akacjowa ;5c;26;;;;;;;Marcin JednorÛg;;;;;Utworzone przez osoby fizyczne
544;Muzeum Ziemi W≥odawskiej;22-244;Stary Brus;Wo≥oskowola;w≥odawski;LUBELSKIE;ul.;Ko≥acze;115;;;;;;;;Pawe≥ Wojtal;;;;;Utworzone przez osoby fizyczne
545;Muzeum Ziemi WolsztyÒskiej  (w organizacji);64-200;Wolsztyn;Wolsztyn;wolsztyÒski;WIELKOPOLSKIE;ul.;Nia≥ecka;24;;;;;;;;Andrzej Toú;;;;;Utworzone przez osoby fizyczne
546;NadwiúlaÒskie Muzeum Broni Dawnej i Nowej w Piasecznie (w†organizacji);05-500;Piaseczno;Piaseczno;piaseczyÒski;MAZOWIECKIE;ul.;M≥ynarska;13;;;;;;;;Maciej Szadkowski ;;;;;Utworzone przez osoby fizyczne
547;Podlaskie Muzeum Techniki Wojskowej  i Uøytkowej w†Bielanach Wπsach ;08-311;Bielany;Bielany-Øylaki;soko≥owski;MAZOWIECKIE;;Bielany Wπsy;14;;;;;;;;Mariusz Murawski;;;;;Utworzone przez osoby fizyczne
548;Pomorskie Muzeum Motoryzacji  (w organizacji);84-208;Kielno;Czeczewo;kartuski;POMORSKIE;ul.;Tuchomska;2;;;;;;;;Tomasz NasiÒski ;;;;;Utworzone przez osoby fizyczne
549;Pomorskie Muzeum Motoryzacji i Techniki  w Gdyni (w†organizacji);81-383;Gdynia;Gdynia;m. Gdynia;POMORSKIE;ul.;I Armii Wojska Polskiego;28;;;;;;;;Tomasz Karchut; Tomasz Groszewski;;;;Utworzone przez osoby fizyczne
550;Pomorskie OkrÍgowe Muzeum PRL w SÍpÛlnie KrajeÒskim (w organizacji);89-400;SÍpÛlno KrajeÒskie ;SÍpÛlno KrajeÒskie;sÍpoleÒski;KUJAWSKO-POMORSKIE;ul. ;Koronowska ;20;4;;;;;;;Marcin Gulka ;;;;;Utworzone przez osoby fizyczne 
551;Prywatne Multimedialne Muzeum Gry i Zabawy w Warszawie (w organizacji);00-586;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Flory;5;24;;;;;;;Pawe≥ Abramczuk ;;;;;Utworzone przez osoby fizyczne
552;Prywatne Muzeum Broni i MilitariÛw w åwidnicy;58-100;åwidnica;åwidnica;úwidnicki;DOLNOåL•SKIE;ul.;WitoszÛw Dolny;7;;;;;;;;Stanis≥aw Gabryú;;;;;Utworzone przez osoby fizyczne
553;Prywatne Muzeum Broni Pancernej i†MilitariÛw im. Franciszka Bier w Bielsku-Bia≥ej;43-310;Bielsko-Bia≥a;Bielsko-Bia≥a;m. Bielsko-Bia≥a;åL•SKIE;ul.;Pasterska;18;;;;;;;;Rafa≥ Bier;;;;;Utworzone przez osoby fizyczne
554;"Prywatne Muzeum Historyczne ,,Gaja"" w Janowie (w organizacji)";05-082;Stare Babice ;Stare Babice;warszawski zachodni;MAZOWIECKIE;ul. ;StudziÒskiego ;3;;;;;;;;Adrian K≥os ;;;;;Utworzone przez osoby fizyczne 
555;Prywatne Muzeum Kowalstwa w Warszawie;02-749;Warszawa;Warszawa (MokotÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Przy Grobli;84;;;;;;;;Kamil Ga≥ecki;;;;;Utworzone przez osoby fizyczne
556;Prywatne Muzeum Militarne w Woli Ma≥ej (w organizacji);37-100;Wola Ma≥a;Czarna ;≥aÒcucki;PODKARPACKIE;;;8a;;;;;;;;Adam StrzÍpka ;;;;;Utworzone przez osoby fizyczne 
557;Prywatne Muzeum Motoryzacji i Techniki   w OtrÍbusach;05-805;OtrÍbusy k/Warszawy;OtrÍbusy;pruszkowski;MAZOWIECKIE;ul.;Warszawska;21;;;;;;;;Joanna Mikiciuk; Izabella Mikiciuk; Patryk Mikiciuk;;14.12.2001;Utworzone przez osoby fizyczne
558;Prywatne Muzeum Podkarpackich PÛl Bitewnych;38-400;Krosno;Krosno;m. Krosno;PODKARPACKIE;ul.;Czajkowskiego;92;;;;;;;;Piotr Kie≥tyka; Dorota Kie≥tyka; Les≥aw Wilk;;;Utworzone przez osoby fizyczne
559;Prywatne Muzeum PojazdÛw Militarnych  i Zabytkowych w Rakszawie;37-111;Rakszawa;Rakszawa;≥aÒcucki;PODKARPACKIE;;Rakszawa;118;3;;;;;;;Bogdan Maczuga;;;;;Utworzone przez osoby fizyczne
560;Prywatne Muzeum Polsko-AmerykaÒskie ÑHellís Angelî w†Wadowicach;34-100;Wadowice;Stronie;wadowicki;MA£OPOLSKIE;ul.;Konstytucji 3 Maja ;23A;;;;;;;;Zygmunt Kraus;;;;;Utworzone przez osoby fizyczne
561;Prywatne Muzeum Sztuki Ludowej  w OtrÍbusach;05-805;OtrÍbusy k/ Warszawy;OtrÍbusy;pruszkowski;MAZOWIECKIE;ul.;NataliÒska;15;;;;;;;;Marian Pokropek; Stanis≥awa Pokropek; Wojciech Pokropek; Agnieszka Pokropek;;Utworzone przez osoby fizyczne
562;Prywatne Muzeum Techniki i MilitariÛw w Rzeszowie;35-083;RzeszÛw;RzeszÛw;m. RzeszÛw;PODKARPACKIE;ul.;Rymanowska;8;10;;;;;;;Tomasz Bπk; Karolina Gawlicka-Bπk;;;;Utworzone przez osoby fizyczne
563;Prywatne Muzeum ÑTomalaî w Kadzidle;07-420;Kadzid≥o;Kadzid≥o;ostro≥Ícki;MAZOWIECKIE;ul.;KompozytorÛw;9;;;;;;;;Antoni Tomala;;;;;Utworzone przez osoby fizyczne
564;Prywatne Muzeum w Petrykozach;96-321;Petrykozy;Øabia Wola;grodziski;MAZOWIECKIE;;;;;;;;;;;Jadwiga Siemion; Wojciech Siemion;;;;Utworzone przez osoby fizyczne
565;Prywatne Muzeum w TuklÍczy (w organizacji);28-236;Rytwiany;Rytwiany;staszowski;åWI TOKRZYSKIE;;TuklÍcz;27;;;;;;;;Jerzy Krauze ;;;;;Utworzone przez osoby fizyczne
566;Regionalne Muzeum Drogownictwa ÑNurzec Stacjaî;17-330;Nurzec Stacja;Milejczyce;siemiatycki;PODLASKIE;;;;;;;;;;;Izabella Kortyka; Jerzy Kortyka;;;;Utworzone przez osoby fizyczne
567;ålπskie Muzeum MilitariÛw i Techniki Uøytkowej w Gorzycach  (w organizacji);44-350;Gorzyce;Turza ålπska;wodzis≥awski;åL•SKIE;ul.;Raciborska;138;;;;;;;;Maciej Gruszka ;;;;;Utworzone przez osoby fizyczne
568;åwiÍtokrzyskie Muzeum MilitariÛw  w Ma≥ogoszczu (w†organizacji);28-366;Ma≥ogoszcz;Ma≥ogoszcz;jÍdrzejowski;åWI TOKRZYSKIE;ul.;Konarskiego;47;;;;;;;;Pawe≥ Grosicki ;;;;;Utworzone przez osoby fizyczne
569;ToruÒskie Muzeum OrÍøa   (w organizacji);87-100;ToruÒ;ToruÒ;m. ToruÒ;KUJAWSKO-POMORSKIE;ul.;Grudziπdzka;57a;16;;;;;;;Krzysztof Melerski;;;;;Utworzone przez osoby fizyczne
570;TWIERDZA TORU—-Muzeum Historii i†Wojskowoúci w†Toruniu;87-100;ToruÒ;ToruÒ;m. ToruÒ;KUJAWSKO-POMORSKIE;ul.;Winna;19;;;;;;;;Tomasz Krajewski; Dariusz Kalinowski;;;;Utworzone przez osoby fizyczne
571;Unis≥awskie Muzeum Barwy i Broni   (w organizacji);86-260;Unis≥aw;Unis≥aw;che≥miÒski;KUJAWSKO-POMORSKIE;ul.;Rynkowa;14;1;;;;;;;Tomasz Micha≥ek ;;;;;Utworzone przez osoby fizyczne
572;Zag≥Íbiowskie Muzeum MilitariÛw Dragon w Sosnowcu (w organizacji);41-215;Sosnowiec;Sosnowiec;m. Sosnowiec;åL•SKIE;ul.;Gen. Waltera Janke;32;;;;;;;;Krzysztof Borda ;;;;;Utworzone przez osoby fizyczne
573;Dolnoúlπskie Spo≥eczne Muzeum Kolejnictwa Przy Klubie SympatykÛw Kolei we Wroc≥awiu;50-503;Wroc≥aw;Wroc≥aw (Wroc≥aw-Krzyki);m. Wroc≥aw;DOLNOåL•SKIE;ul.;Paczkowska;26;;;;;;;;Klub SympatykÛw Kolei z siedzibπ we†Wroc≥awiu;;;;;Utworzone przez osoby prawne
574;Europejskie Centrum - Muzeum Haftu na Ziemi Garkowskiej;63-430;OdolanÛw;OdolanÛw;ostrowski;WIELKOPOLSKIE;;Garki;16B;;;;;;;;Fundacja im. úw. Rity na rzecz Europejskiego Muzeum Etnograficznego Ziemi Garkowskiej;;;;;Utworzone przez osoby prawne
575;Interaktywne Muzeum Technik BezpieczeÒstwa, Transportu, Ochrony i Higieny Pracy w Miko≥owie;43-190;Miko≥Ûw;Miko≥Ûw (BujakÛw);miko≥owski;åL•SKIE;ul.;Rybnicka;43;;;;;;;;PPHU MORITZ Marek RÛøycki;;;;;Utworzone przez osoby prawne
576;Kujawskie Muzeum OrÍøa, Nauki i†Techniki (w organizacji);87-880;BrzeúÊ Kujawski;BrzeúÊ Kujawski;w≥oc≥awski;KUJAWSKO-POMORSKIE;ul.;Redecz Krukowy;8A;;;;;;;;Fundacja im. Janusza Borkowskiego                                                                                  ÑGodne Øycie na Kujawachî;;;;;Utworzone przez osoby prawne
577;Ma≥opolskie Muzeum Poøarnictwa  im. Z. GÍsikowskiego w Alwerni;32-566;Alwernia;Alwernia;chrzanowski;MA£OPOLSKIE;ul.;KoryciÒskiego;10;;;;;;;;Ochotnicza Straø Poøarna w  Alwerni;;;;;Utworzone przez osoby prawne
578;Mazurskie Muzeum MilitariÛw ;11-400;KÍtrzyn;KÍtrzyn;kÍtrzyÒski;WARMI—SKO-MAZURSKIE;ul.;Parcz;7;1;;;;;;;"Fundacja Edukacji Historycznej ,,Park MilitariÛw"" ";;;;;Utworzone przez osoby prawne
579;Mobilne Muzeum Lotnictwa i Techniki w Warszawie (w organizacji);02-063;Warszawa;Warszawa (Ochota);m. st. Warszawa;MAZOWIECKIE;ul.;GÛrnickiego;3;8;;;;;;;Fundacja Lot Classic J. Makula &Partnerzy;;;;;Utworzone przez osoby prawne
580;Mobilne Muzeum Militarne we Wroc≥awiu (w organizacji);51-180;Wroc≥aw;Wroc≥aw (Wroc≥aw-Psie Pole);m. Wroc≥aw;DOLNOåL•SKIE;ul.;Pe≥czyÒska;33;;;;;;;;Fundacja Inicjatyw Spo≥ecznych i Kulturalnych JEDYNKA;;;;;Utworzone przez osoby prawne
581;Muzeum Akademii Sztuk PiÍknych                                                                        w Warszawie;00-068;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Krakowskie Przedmieúcie;5;;;;;;;;Akademia Sztuk PiÍknych;;;;;Utworzone przez osoby prawne
582;Muzeum BambrÛw PoznaÒskich;60-723;PoznaÒ;PoznaÒ (PoznaÒ-Grunwald);m. PoznaÒ;WIELKOPOLSKIE;ul.;Mostowa;7;9;;;;;;;Towarzystwo BambrÛw PoznaÒskich w†Poznaniu;;;;;Utworzone przez osoby prawne
583;Muzeum Brodnickiej Grupy Eksploracyjno -Poszukiwawczej (w organizacji) ;87-313;Brzozie ;Brzozie ;brodnicki KUJAWSKO- POMORSKIE ;;;;48;;;;;;;;Stowarzyszenie Brodnicka Grupa Eksploracyjno - Poszukiwawcza ;;;;;Utworzone przez osoby prawne 
584;Muzeum Broni Dawnej i Nowej Towarzystwa Strzeleckiego;75-038;Koszalin;Koszalin;m. Koszalin;ZACHODNIO-POMORSKIE;ul.;ZwyciÍstwa;46;4D;;;;;;;Towarzystwo Strzeleckie  z siedzibπ w†Koszalinie ;;;;;Utworzone przez osoby prawne
585;Muzeum Broni i SprzÍtu Wojskowego KwidzyÒskiego Stowarzyszenia Sportowo-Kolekcjonerskiego GWARD;82-500;Kwidzyn;Kwidzyn;kwidzyÒski;POMORSKIE;ul.;Mi≥osna;18;;;;;;;;KwidzyÒskie  Stowarzyszenie Sportowo-Kolekcjonerskie GWARD;;;;;Utworzone przez osoby prawne
586;Muzeum Broni i SprzÍtu Wojskowego SIRGUNE (w organizacji);82-440;DzierzgoÒ;DzierzgoÒ;sztumski;POMORSKIE;ul.;Odrodzenia;4;;;;;;;;SALU Sp. z o.o.;;;;;Utworzone przez osoby prawne
587;Muzeum Chirurgii i Sali Operacyjnej w†Ustroniu ;43-450;UstroÒ;UstroÒ;cieszyÒski;åL•SKIE;ul.;Szpitalna;11;;;;;;;;ålπski Szpital Reumatologiczno- Rehabilitacyjny w Ustroniu ;;;;;Utworzone przez osoby prawne
588;Muzeum Czynu Bojowego KleeberczykÛw w Woli Gu≥owskiej (w organizacji);21-481;Wola Gu≥owska ;Wola Gu≥owska;≥ukowski;LUBELSKIE;ul.;;68;;;;;;;;Samorzπdowa instytucja kultury - Dom Kultury - Pomnik Czynu Bojowego KleeberczykÛw w Woli Gu≥owskiej, dla ktÛrej organizatorem jest Gmina AdamÛw;;;;;Utworzone przez osoby prawne
589;Muzeum Czynu Niepodleg≥oúciowego ;30-063;KrakÛw;KrakÛw (KrakÛw-Krowodrza);m. KrakÛw;MA£OPOLSKIE;ul.;3 Maja;7;;;;;;;;Zwiπzek LegionistÛw Polskich ;;;;;Utworzone przez osoby prawne
590;Muzeum Czynu Zbrojnego w Krakowie Nowej Hucie;31-961;KrakÛw;KrakÛw (KrakÛw-Nowa Huta);m. KrakÛw;MA£OPOLSKIE;os. ;GÛrali;23;;;;;;;;Ma≥opolska Fundacja Dom Kombatanta RP - Muzeum Czynu Zbrojnego;;;;;Utworzone przez osoby prawne
591;"Muzeum Edukacji ,,PszczÛ≥ki"" w Niezwojowicach ";32-109;Pa≥ecznica  Niezwojowice;Pa≥ecznica;proszowicki;MA£OPOLSKIE;;;23;;;;;;;;"Fundacja na rzecz Kultury Sztuki i Przyrody ,,PszczÛ≥ki""";;;;;Utworzone przez osoby prawne
592;Muzeum Eksploracji Polskiej (w organizacji);80-518;GdaÒsk;GdaÒsk;m. GdaÒsk;POMORSKIE;ul.;GdaÒska;21;E;;;;;;;"Fundacja Na Rzecz Odzyskania Zaginionych Dzie≥ Sztuki ""LATEBRA""";;;;;Utworzone przez osoby prawne
593;Muzeum Fortyfikacji Pancernej Twierdzy ToruÒ;87-100;ToruÒ;ToruÒ;m. ToruÒ;KUJAWSKO-POMORSKIE;ul.;PoznaÒska;191;199;;;;;;;ToruÒskie Towarzystwo Fortyfikacyjne;;;;;Utworzone przez osoby prawne
594;Muzeum Fryderyka Chopina w†Warszawie;00-368;Warszawa (Zamek Ostrogskich);Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;OkÛlnik;1;;;;;;;;Narodowy Instytut Fryderyka Chopina ;;;;;Utworzone przez osoby prawne
595;Muzeum Gazownictwa w Paczkowie;48-370;PaczkÛw;PaczkÛw;nyski;OPOLSKIE;ul.;Pocztowa;6;;;;;;;;GÛrnoúlπska SpÛ≥ka Gazownictwa Sp. z o.o.;;;;;Utworzone przez osoby prawne
596;Muzeum Gazownictwa w Warszawie;01-224;Warszawa;Warszawa (Wola);m. st. Warszawa;MAZOWIECKIE;ul.;Marcina Kasprzaka;25;;;;;;;;Polskie GÛrnictwo Naftowe i Gazownictwo SpÛ≥ka Akcyjna ;;;;;Utworzone przez osoby prawne
597;Muzeum Grodziska Kolej Drezynowa (w organizacji);62-065;Ptaszkowo;Grodzisk Wielkopolski ;grodziski ;WIELKOPOLSKIE;;;82;;;;;;;;Stowarzyszenie Grodziska Kolej Drezynowa;;;;;Utworzone przez osoby prawne 
598;Muzeum Gryfa Pomorskiego;84-251;Lisewo;Chynowie;wejherowski;POMORSKIE;;;28;;;;;;;;Militarni Team Sp. z o.o.  z siedzibπ w Gdyni;;;;;Utworzone przez osoby prawne
599;Muzeum Harcerstwa w Warszawie;00-491;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Konopnickiej;6;;;;;;;;Zwiπzek Harcerstwa Polskiego;;;;;Utworzone przez osoby prawne
600;Muzeum Historii i Uzbrojenia w Opolu przy Stowarzyszeniu 10 Sudeckiej Dywizji Zmechanizowanej (w†organizacji);45-063;Opole;Opole;m. Opole;OPOLSKIE;ul.;Koúciuszki;45;;;;;;;;Stowarzyszenie 10 Sudeckiej Dywizji Zmechanizowanej ;;;;;Utworzone przez osoby prawne
